"Model","ntrain","node","qt10_RMSE","qt10_bias","qt10_pinball","qt50_RMSE","qt50_bias","qt50_pinball","qt90_RMSE","qt90_bias","qt90_pinball","mean_RMSE","mean_bias","prob_RMSE","prob_bias","prob_brier","CRPS_mean","CRPS_med","CvM_mean","covg_rate","covgwid_med","nonexc10","nonexc90","time"
"QRF",1000,10,1.55593653919557,-0.69301579456091,0.837719419140664,1.41327532155972,-0.0983996926545137,2.20518482894877,2.61337673728883,0.95744536260481,1.15900741123466,1.50366758021491,0.0423572598509594,0.0888294553126654,-0.0030278502101338,0.158331161286407,3.1449035251464,2.27715161983265,0.395643187908741,0.82638,14.9600012105236,0.088048,0.914428,2.92720000000016
"WRF",1000,10,1.5092719484932,-0.643433595940134,0.835957103635233,1.4011280893247,-0.103095000221206,2.20325005994708,2.40631024699697,0.885458834030926,1.14935029881022,1.4494464758421,0.039413623143635,0.0850837077012391,-0.00284905486652908,0.157670366441866,3.13778947439479,2.2690909564504,0.379919268546858,0.824868,14.9155523593035,0.089432,0.9143,3.9849599999999
"QRF",2000,20,1.33938072962723,-0.641789433481076,0.828694964676944,1.1106932720731,-0.0962092419924498,2.18001646043674,2.17789310690522,0.885183849649111,1.14192866664478,1.24692962297782,0.038139344678641,0.0731885714505074,-0.00358004171228897,0.155590715540935,3.10716161085088,2.2394137165254,0.363108476895339,0.829216,14.7940284817499,0.086368,0.915584,3.42715999999962
"WRF",2000,20,1.28239451809538,-0.590498828579359,0.826324295699084,1.09107072273181,-0.0971979471510054,2.17779358958845,1.94042677867045,0.805984336632706,1.13245232509415,1.178374848785,0.0364462935309745,0.0680909484253658,-0.00340669284772411,0.154858089853921,3.09965853509612,2.23212219629535,0.342540632078351,0.828032,14.7274664047418,0.087336,0.915368,5.02523999999976
"QRF",5000,50,1.16794831397025,-0.624377512663781,0.820834365269588,0.845188235777236,-0.0966289913577324,2.16383907642074,1.86399489672111,0.822096716719157,1.12896638926775,1.0397173833006,0.0298594602597132,0.0618561537708528,-0.00263938532962129,0.15463033950419,3.08203724272959,2.22530555238166,0.341003919947251,0.832708,14.5925072322534,0.084176,0.916884,4.83667999999982
"WRF",5000,50,1.10158569743034,-0.571283776981139,0.818418625044083,0.817837368716647,-0.0964867317338914,2.16117286606947,1.57233030264541,0.728847506822728,1.11866848429131,0.952905332562106,0.0258054471033031,0.0550794247726861,-0.00234980521574375,0.153831763088024,3.07380836725005,2.21588526766786,0.321530697070711,0.831216,14.5467669648833,0.085232,0.916448,7.97171999999997
