"Model","ntrain","node","qt10_RMSE","qt10_bias","qt10_pinball","qt50_RMSE","qt50_bias","qt50_pinball","qt90_RMSE","qt90_bias","qt90_pinball","mean_RMSE","mean_bias","prob_RMSE","prob_bias","prob_brier","CRPS_mean","CRPS_med","CvM_mean","covg_rate","covgwid_med","nonexc10","nonexc90","time"
"SSE",1000,60,1.28284954485053,0.0524796330026612,0.833607687552995,1.63521577313582,-0.0357834709185014,2.22704876109261,2.47749494151749,-0.0949994662430703,1.16970975541886,1.58626077916588,0.00039350133055441,0.0916192823563952,-0.000469697578920424,0.159492145258612,3.17248322659103,2.23030957240944,0.432255191108704,0.773233,13.1537558018891,0.111439,0.884672,0.00333000000000311
"Wilcoxon",1000,60,1.14112748479892,0.115604289751222,0.829391568397176,1.45255750607098,-0.0221663929126404,2.20785363911458,2.07183450388341,-0.193043551813328,1.14632584936253,1.35352093359405,-0.00155773938917414,0.0799307292067494,-0.000329824340458152,0.157012477211302,3.13966140534764,2.20731625637276,0.445770995042877,0.773322,13.0289614291944,0.112342,0.885664,0.00537000000000853
"Pinball",1000,60,1.48380960822119,-0.0501851724465777,0.846593143861741,1.93365741043835,-0.0208848807174342,2.25342186905096,2.87187815550552,0.078936906947712,1.18597602314184,1.87335613273856,0.0281343485305513,0.105057138821162,-0.00219450826762217,0.161787627249285,3.62495741616415,2.58949719039875,0.382545302635271,0.776723,13.3578944836135,0.110191,0.886914,0.0224499999999925
"CPM-probit",1000,60,0.99510449107728,0.119616424594531,0.822725827950021,1.34973758444742,0.0362246045148278,2.19772136670248,1.83005222245575,-0.0979256905109408,1.1338973603722,1.35082432173862,0.0089594216516207,0.0728609509359179,-0.000954561032220783,0.155967265557505,3.10596592090056,2.1647730371588,0.361407132688204,0.779621,13.1210849433857,0.110903,0.890524,0.102879999999991
"CPM-logit",1000,60,1.02708644904333,0.178170727669805,0.824361709215451,1.38828173619727,0.0443144360109762,2.20122103612536,1.84258834425788,-0.251462304210577,1.13582724840701,1.36797723300184,0.0249400651473092,0.0750945745349997,-0.000865253898249103,0.156287916753907,3.1122186277879,2.16322536052782,0.533667648541297,0.772186,13.0887923504337,0.114702,0.886888,0.103460000000023
"SSE",2000,120,0.881743795983257,0.0215398678763237,0.816703437558274,1.13842898772646,-0.0174205854087944,2.18498388295081,1.7218260184746,-0.0351247194966883,1.13290434553466,1.09723643119695,-0.00293054345955769,0.063167964009213,-0.000171153535455774,0.154873296579519,3.10356314157695,2.18364484800266,0.271095101984527,0.787059,13.2527474756227,0.105597,0.892656,0.00472000000001208
"Wilcoxon",2000,120,0.787734255519592,0.0522343672705711,0.814852995529999,1.0241495774921,-0.00630170204703991,2.17511102088833,1.44375036438916,-0.0854364583518297,1.11958785611605,0.940489624789185,-0.0035460305058464,0.0554920950677287,-9.3677771863913e-05,0.153538016053002,3.08625397796838,2.17183117302526,0.277540163356159,0.787009,13.1806713078797,0.105965,0.892974,0.00821999999995387
"Pinball",2000,120,1.26749414480431,-0.0843032430456433,0.834482590366046,1.6758283076579,-0.0125804036551792,2.22750798472858,2.42231497245011,0.151303840832367,1.16136799210959,1.64121230381346,0.0263117878942991,0.0898062859910349,-0.0020368931332113,0.158790118374615,3.59969738301574,2.56122230460404,0.271980314737051,0.78734,13.5794562542091,0.106158,0.893498,0.0334499999999825
"CPM-probit",2000,120,0.684237529258491,0.0633156011894034,0.811286756275521,0.938141734923481,0.0173879202468394,2.16929897914019,1.26615343460016,-0.0568887000475761,1.11311296668569,0.937761629421386,0.00214302569972462,0.0505508057245195,-0.00045514736696118,0.153023139616572,3.06869004942606,2.14913756992233,0.241011835632131,0.789547,13.2845065632647,0.105546,0.895093,0.660150000000034
"CPM-logit",2000,120,0.709940909545312,0.113470072344102,0.812162630963463,0.967890396397476,0.0267394829581642,2.1711070280283,1.29399132304232,-0.191314328527048,1.11444571575319,0.95343269773742,0.0219143507436256,0.052438251303664,-0.00049505243954467,0.153217401573607,3.07263021554718,2.14440620581095,0.35861216226306,0.783205,13.2827655137802,0.108867,0.892072,0.746530000000012
"SSE",5000,300,0.517424885889341,0.0112681983274096,0.806822919212836,0.668280991868981,-0.00669415855696268,2.15480501884752,1.0216754241851,-0.0280091937221046,1.10686560949611,0.642106189249239,-0.00493610539996388,0.0367454536702169,-0.000180357138771184,0.152356745573,3.05656199148568,2.15690667559037,0.204690390762637,0.795141,13.2929757024392,0.101997,0.897138,0.00681999999988329
"Wilcoxon",5000,300,0.484582303349661,0.0202731986331978,0.806436081104181,0.63777751016489,-0.0063983583035786,2.15358339068265,0.892248656008167,-0.0441658851873129,1.10289938281812,0.580778633541908,-0.00669462202982214,0.0343806395617708,-1.42887283894777e-05,0.152071620966597,3.05311168545311,2.15516598801491,0.206020726963453,0.794811,13.312870794684,0.102223,0.897034,0.015650000000056
"Pinball",5000,300,1.19810560883999,-0.126986874352834,0.830162778278468,1.60729857164791,-0.00809475899273234,2.21720541541674,2.22444004845235,0.222230064679544,1.14847957231518,1.59901649000639,0.0336039330447792,0.0843920057452353,-0.00266847635512657,0.15809222751765,3.57020648776583,2.53725854590122,0.223260508496899,0.794664,13.9072347678404,0.103406,0.89807,0.0624199999999801
"CPM-probit",5000,300,0.419753271510351,0.0252141461180648,0.805155387273164,0.578853392968323,0.00396769832033009,2.15115049964563,0.786167566138241,-0.0297322639563981,1.10066805882413,0.579708874187361,-0.00449674283778176,0.0310714288332068,-0.000140592751144506,0.151848210065681,3.04581910388419,2.14547369373939,0.196087926566747,0.795714,13.465200441681,0.10225,0.897964,0.148709999999912
"CPM-logit",5000,300,0.440632356742278,0.0692824890652909,0.805638797523526,0.600694376398939,0.0113322228116188,2.15203225518314,0.83097074297472,-0.156743068549516,1.10144043699564,0.593920120102947,0.014692206672246,0.0327373229597401,-0.00014741928151687,0.151964720799683,3.0485212749351,2.14051289820876,0.278686543312129,0.789855,13.485762964805,0.105363,0.895218,0.173209999999941
