"Model","ntrain","node","qt10_RMSE","qt10_bias","qt10_pinball","qt50_RMSE","qt50_bias","qt50_pinball","qt90_RMSE","qt90_bias","qt90_pinball","mean_RMSE","mean_bias","prob_RMSE","prob_bias","prob_brier","CRPS_mean","CRPS_med","CvM_mean","covg_rate","covgwid_med","nonexc10","nonexc90","time"
"QRF",1000,10,0.350705388196165,-0.128395801748819,0.184298933524902,0.247458027929179,0.00438572163716096,0.410918440794118,0.357085102171794,0.151927457712009,0.183885543174192,0.257832267827978,0.00799265787305207,0.0837710854612387,-0.0027812203038867,0.157460596051715,0.584168728169742,0.431714117837098,0.383713312547397,0.824784,2.8193642878797,0.089584,0.914368,2.92483999999994
"WRF",1000,10,0.353106025510836,-0.129761678063884,0.184267941253733,0.251953930497972,0.00545968364857432,0.411291303231259,0.360237477837255,0.153068904116345,0.184038429516521,0.260550565757352,0.00817919963617555,0.0850837077012391,-0.00284905486652908,0.157670366441866,0.584615115097173,0.431853816727308,0.379919268546858,0.824868,2.82027741174985,0.089432,0.9143,3.98980000000008
"QRF",2000,20,0.289252845638157,-0.116428527639887,0.181435713252911,0.19208951422455,0.00469008144185642,0.405766009119077,0.295226248573855,0.140300976302287,0.181344084968316,0.210604442372417,0.00829770449029876,0.0670855628005249,-0.00329668316398028,0.154710483053796,0.576532825264931,0.424437852294713,0.344440722959685,0.8278,2.80160867037698,0.087584,0.915384,3.42227999999997
"WRF",2000,20,0.290426849331894,-0.117069700457539,0.181440469168131,0.195332462889594,0.00554910705569817,0.406006225883228,0.297458051642576,0.141060983782563,0.181429701619738,0.212283438120444,0.00859878315669287,0.0680859539566867,-0.0034066709480926,0.154865571231574,0.576764619681556,0.424573751410423,0.342540632078351,0.828084,2.80232798052486,0.087312,0.915396,4.99835999999972
"QRF",5000,50,0.239693677792581,-0.112209231995456,0.179276406039213,0.145067730820388,0.00394036846976932,0.402806501066422,0.247018238719322,0.127600715987003,0.179561886626637,0.171548518898434,0.00614590387749999,0.0542338348983031,-0.00215855387431913,0.153745714689587,0.571802677090781,0.421960119342083,0.31998139236842,0.8309,2.78652398495042,0.085344,0.916244,4.89875999999966
"WRF",5000,50,0.23832558849763,-0.112574154538595,0.179213163474965,0.146043712813348,0.0047239886080717,0.402851285295363,0.250317362381915,0.129019056358709,0.179656411827795,0.172053128605776,0.00665321684510206,0.0550185884925954,-0.00234211183399557,0.153824461543128,0.571861751784569,0.422364528547365,0.321530697070711,0.8312,2.78832283601891,0.085212,0.916412,7.95411999999994
