"Variable","Baseline_mean_Brier","Permuted_mean_Brier","VI_Brier","VI_percent"
"base_VL",0.134904270662059,0.147642887733249,0.0127386170711901,9.44270852855422
"base_cd4",0.134904270662059,0.141181572433915,0.00627730177185581,4.65315274383026
"months_to_vl",0.134904270662059,0.139706763199031,0.00480249253697143,3.5599262450348
"site",0.134904270662059,0.137196144371974,0.00229187370991496,1.69888892224635
"prior_aids",0.134904270662059,0.136363375039425,0.00145910437736599,1.08158501595632
"art_regimen",0.134904270662059,0.136282452806291,0.00137818214423169,1.02160008535541
"age_art",0.134904270662059,0.136176393869176,0.00127212320711698,0.942982161256923
"infmode",0.134904270662059,0.136173224602408,0.00126895394034912,0.940632890361123
"year_art",0.134904270662059,0.135583892944052,0.000679622281992198,0.503781146925051
"male_y",0.134904270662059,0.135473137293594,0.000568866631534576,0.421681707141511
